publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Touchstone,Philippa Gregory,1476758786,9.78E+12,8/27/17,by Philippa Gregory,THE LAST TUDOR,1
BookShots,James Patterson with Maxine Paetro,316504831,9.78E+12,8/20/17,by James Patterson with Maxine Paetro,THE MEDICAL EXAMINER,1
Ballantine,Jonathan Kellerman and Jesse Kellerman,399594612,9.78E+12,8/20/17,by Jonathan Kellerman and Jesse Kellerman,CRIME SCENE,1
Avon,Ilona Andrews,62289284,9.78E+12,8/13/17,by Ilona Andrews,WILDFIRE,1
Minotaur,C J Box,None,9.78E+12,8/13/17,by C J. Box,PARADISE VALLEY,1
Grand Central,James Patterson and others,1478971630,9.78E+12,8/13/17,by James Patterson and others,THE MOORES ARE MISSING,1
Zebra,"Lisa Jackson, Nancy Bush and Rosalind Noonan",1420137891,9.78E+12,8/13/17,"by Lisa Jackson, Nancy Bush and Rosalind Noonan",OMINOUS,1
HQN,Marie Force,1460399986,9.78E+12,8/13/17,by Marie Force,FATAL THREAT,1
Vi Keeland,Vi Keeland,1942215649,9.78E+12,8/6/17,by Vi Keeland,BEAUTIFUL MISTAKE,1
St. Martin's,Iris Johansen and Roy Johansen,1466887346,9.78E+12,8/6/17,by Iris Johansen and Roy Johansen,LOOK BEHIND YOU,1
Minotaur,Louise Penny,1429967234,9.78E+12,7/30/17,by Louise Penny,STILL LIFE,1
Random House Publishing Group,Kathy Reichs,345544080,9.78E+12,7/30/17,by Kathy Reichs,TWO NIGHTS,1
HQN,Susan Mallery,1488023220,9.78E+12,7/30/17,by Susan Mallery,SECRETS OF THE TULIP SISTERS,1
Berkley,Julie Garwood,None,9.78E+12,7/23/17,by Julie Garwood,WIRED,1
Dell,Lee Child,440336058,9.78E+12,7/23/17,by Lee Child,THE HARD WAY,1
Berkley,Patricia Cornwell,None,9.78E+12,7/23/17,by Patricia Cornwell,THE BONE BED,1
Penguin,Celeste Ng,1101634618,9.78E+12,7/23/17,by Celeste Ng,EVERYTHING I NEVER TOLD YOU,1
Delacorte,Diana Gabaldon,039959342X,9.78E+12,7/16/17,by Diana Gabaldon,SEVEN STONES TO STAND OR FALL,1
Zebra,Fern Michaels,142014068X,9.78E+12,7/16/17,by Fern Michaels,HIGH STAKES,1
Random House,﻿Imbolo Mbue,525509712,9.78E+12,7/16/17,by ﻿Imbolo Mbue,BEHOLD THE DREAMERS,1
HQN,RaeAnne Thayne,037379939X,9.78E+12,7/16/17,by RaeAnne Thayne,SERENITY HARBOR,1
Avon,Sarah MacLean,62379461,9.78E+12,7/16/17,by Sarah MacLean,THE DAY OF THE DUCHESS,1
Bantam,Janet Evanovich,553392751,9.78E+12,7/9/17,by Janet Evanovich,DANGEROUS MINDS,1
Gallery Books,Mary Alice Monroe,1501125516,9.78E+12,7/9/17,by Mary Alice Monroe,BEACH HOUSE FOR RENT,1
Harper,Adriana Trigiani,62319221,9.78E+12,7/9/17,by Adriana Trigiani,KISS CARLO,1
Morrow,Don Winslow,62664425,9.78E+12,7/9/17,by Don Winslow,THE FORCE,1
Berkley,Nalini Singh,1101987812,9.78E+12,7/2/17,by Nalini Singh,SILVER SILENCE,1
Putnam,Stuart Woods,735217130,9.78E+12,6/25/17,by Stuart Woods,INDECENT EXPOSURE,1
Howard,Karen Kingsbury,1451687591,9.78E+12,6/25/17,by Karen Kingsbury,LOVE STORY,1
Berkley,Christine Feehan,None,9.78E+12,6/18/17,by Christine Feehan,SHADOW REAPER,1
Avon,Julia Quinn,62388185,9.78E+12,6/18/17,by Julia Quinn,THE GIRL WITH THE MAKE-BELIEVE HUSBAND,1
Avon,Ilona Andrews,62289268,9.78E+12,6/18/17,by Ilona Andrews,WHITE HOT,1
Mira,Heather Graham,778330222,9.78E+12,6/18/17,by Heather Graham,DYING BREATH,1
Avon,Maya Banks,62410199,9.78E+12,6/11/17,by Maya Banks,JUST ONE TOUCH,1
Waterhouse,Helen Hardt,None,A00B01L9WY8PU,6/4/17,by Helen Hardt,SURRENDER,1
Cemetery Dance,Stephen King and Richard Chizmar,None,A00B06XC9VTBV,6/4/17,by Stephen King and Richard Chizmar,GWENDY'S BUTTON BOX,1
Grand Central,Scott Turow,1455553522,9.78E+12,6/4/17,by Scott Turow,TESTIMONY,1
Doubleday,Lincoln Child,385531435,9.78E+12,6/4/17,by Lincoln Child,FULL WOLF MOON,1
Penelope Sky,Penelope Sky,None,A00B01MSJEQRO,6/4/17,by Penelope Sky,BUTTONS AND PAIN,1
Knopf,Jo Nesbo,385352174,9.78E+12,5/28/17,by Jo Nesbo,THE THIRST,1
Del Rey,Robin Hobb,553392972,9.78E+12,5/28/17,by Robin Hobb,ASSASSIN'S FATE,1
Ecco/HarperCollins,Dennis Lehane,62129406,9.78E+12,5/28/17,by Dennis Lehane,SINCE WE FELL,1
Berkley,Amanda Quick,698193628,9.78E+12,5/28/17,by Amanda Quick,THE GIRL WHO KNEW TOO MUCH,1
BookShots,James Patterson,316469742,9.78E+12,5/21/17,by James Patterson,DETECTIVE CROSS,1
BookShots,James Patterson and Jassy Mackenzie,316438839,9.78E+12,5/21/17,by James Patterson and Jassy Mackenzie,PRIVATE: GOLD,1
Putnam,Ace Atkins,698413067,9.78E+12,5/21/17,by Ace Atkins,ROBERT B. PARKER'S LITTLE WHITE LIES,1
Random House,Elizabeth Strout,812989422,9.78E+12,5/14/17,by Elizabeth Strout,ANYTHING IS POSSIBLE,1
St. Martin's,Iris Johansen,1466887222,9.78E+12,5/14/17,by Iris Johansen,NO EASY TARGET,1
Gallery Books,Kresley Cole,1501120565,9.78E+12,5/14/17,by Kresley Cole,WICKED ABYSS,1
Atria,Fredrik Backman,1501160788,9.78E+12,5/14/17,by Fredrik Backman,BEARTOWN,1
Putnam,Stuart Woods,399574212,9.78E+12,5/7/17,by Stuart Woods,FAST AND LOOSE,1
Harlequin,Ron Carr,1460396618,9.78E+12,5/7/17,by Robyn Carr,ANY DAY NOW,1
Knopf,Anita Shreve,385350910,9.78E+12,5/7/17,by Anita Shreve,THE STARS ARE FIRE,1
Grand Central,Jeffery Deaver,1455536393,9.78E+12,4/30/17,by Jeffery Deaver,THE BURIAL HOUR,1
Del Rey,Timothy Zahn,345511271,9.78E+12,4/30/17,by Timothy Zahn,THRAWN,1
EverAfter Romance,Vi Keeland and Penelope Ward,1942215584,9.78E+12,4/30/17,by Vi Keeland and Penelope Ward,MISTER MONEYBAGS,1
Harper,Anne Hillerman,62391895,9.78E+12,4/30/17,by Anne Hillerman,SONG OF THE LION,1
Ballantine,J R Ward,698192982,9.78E+12,4/23/17,by J. R. Ward,THE CHOSEN,1
St. Martin's,Steve Berry,1466862629,9.78E+12,4/23/17,by Steve Berry,THE LOST ORDER,1
Atlantic Monthly,Donna Leon,802189458,9.78E+12,4/23/17,by Donna Leon,EARTHLY REMAINS,1
Ampersand,Kristen Pro,1633500233,9.78E+12,4/23/17,by Kristen Proby,EASY MAGIC,1
Avon,Lynsay Sands,62468855,9.78E+12,4/16/17,by Lynsay Sands,IMMORTAL UNCHAINED,1
EverAfter Romance,Corinne Michaels,1942834217,9.78E+12,4/16/17,by Corinne Michaels,SAY I'M YOURS,1
Berkley,Christine Feehan,399583947,9.78E+12,4/9/17,by Christine Feehan,BOUND TOGETHER,1
Ballantine,Debbie Macomber,553391976,9.78E+12,4/9/17,by Debbie Macomber,IF NOT FOR YOU,1
Touchstone,J A Jance,1501110810,9.78E+12,4/9/17,by J. A. Jance,MAN OVERBOARD,1
Gallery Books,Catherine Coulter and J T Ellison,1501150359,9.78E+12,4/2/17,by Catherine Coulter and J. T. Ellison,THE DEVIL'S TRIANGLE,1
Putnam,Clive Cussler and Justin Scott,399575618,9.78E+12,4/2/17,by Clive Cussler and Justin Scott,THE CUTTHROAT,1
Harper/HarperCollins,Jacqueline Winspear,62436619,9.78E+12,4/2/17,by Jacqueline Winspear,IN THIS GRAVE HOUR,1
Tyndale House,Joel C Rosenberg,None,9.78E+12,4/2/17,by Joel C. Rosenberg,WITHOUT WARNING,1
Ace,Patricia Briggs,698195817,9.78E+12,3/26/17,by Patricia Briggs,SILENCE FALLEN,1
Berkley,Maya Banks,698176197,9.78E+12,3/26/17,by Maya Banks,BRIGHTER THAN THE SUN,1
ROC,Anne Bishop,698190459,9.78E+12,3/26/17,by Anne Bishop,ETCHED IN BONE,1
St. Martin's,Allison Brennan,1250105277,9.78E+12,3/26/17,by Allison Brennan,MAKE THEM PAY,1
Avon,Jeaniene Frost,62075853,9.78E+12,3/19/17,by Jeaniene Frost,INTO THE FIRE,1
Morrow,Faye Kellerman,62425250,9.78E+12,3/19/17,by Faye Kellerman,BONE BOX,1
Mira,Susan Mallery,146039643X,9.78E+12,3/19/17,by Susan Mallery,A MILLION LITTLE THINGS,1
EverAfter Romance,Tijan,None,A00B06XBVL7Q2,3/19/17,by Tijan,COLE,1
Kensington,Joanne Fluke,1617732214,9.78E+12,3/19/17,by Joanne Fluke,BANANA CREAM PIE MURDER,1
Valkyrie,Kresley Cole,997215186,9.78E+12,3/19/17,by Kresley Cole,SHADOW'S SEDUCTION,1
Avon,Lisa Kleypas,62371908,9.78E+12,3/12/17,by Lisa Kleypas,DEVIL IN SPRING,1
Del Rey,Chuck Wendig,1101966963,9.78E+12,3/12/17,by Chuck Wendig,AFTERMATH:: EMPIRE'S END,1
Mira,Pam Jenoff,778319814,9.78E+12,3/12/17,by Pam Jenoff,THE ORPHAN'S TALE,1
Waterhouse Press,Helen Hardt,None,A00B01LBPLEG6,3/5/17,by Helen Hardt,BURN,1
Berkley,Mark Greaney,698406850,9.78E+12,3/5/17,by Mark Greaney,GUNMETAL GRAY,1
Jove,Mary Balogh,698411390,9.78E+12,2/26/17,by Mary Balogh,SOMEONE TO HOLD,1
Dial,Sophie Kinsella,812998278,9.78E+12,2/26/17,by Sophie Kinsella,MY NOT SO PERFECT LIFE,1
Avon,Eloisa James,62389467,9.78E+12,2/19/17,by Eloisa James,SEVEN MINUTES IN HEAVEN,1
Golden Unicorn Enterprises,J S Scott,1939962676,9.78E+12,2/19/17,by J. S. Scott,BILLIONAIRE UNKNOWN,1
Berkley,Jodi Picoult,None,9.78E+12,2/19/17,by Jodi Picoult,PICTURE PERFECT,1
Avon,Lynsay Sands,62273620,9.78E+12,2/19/17,by Lynsay Sands,FALLING FOR THE HIGHLANDER,1
Zebra,Kat Martin,1420139053,9.78E+12,2/19/17,by Kat Martin,INTO THE FIRESTORM,1
Berkley,Christine Feehan,None,9.78E+12,2/12/17,by Christine Feehan,POWER GAME,1
genreCrave,Gwynn White and various authors,None,A00B01MCYGPQM,2/12/17,by Gwynn White and various authors,DARK HUMANITY,1
Avon,Jill Shalvis,62448072,9.78E+12,2/12/17,by Jill Shalvis,ACCIDENTALLY ON PURPOSE,1
Delacorte,Karen Marie Moning,425284360,9.78E+12,2/5/17,by Karen Marie Moning,FEVERSONG,1
EverAfter Romance,Vi Keeland,1942215568,9.78E+12,2/5/17,by Vi Keeland,EGOMANIAC,1
Romig Works,Aleatha Romig,996839445,9.78E+12,2/5/17,by Aleatha Romig,FIDELITY,1
Lauren Blakely,Lauren Blakely,None,A00B01MT5HMRV,1/29/17,by Lauren Blakely,FULL PACKAGE,1
Dutton,Brad Taylor,None,9.78E+12,1/29/17,by Brad Taylor,RING OF FIRE,1
Berkley,Karen White,NA,9.78E+12,1/29/17,by Karen White,THE GUESTS ON SOUTH BATTERY,1
Ballantine,Kristin Hannah,345459504,9.78E+12,1/22/17,by Kristin Hannah,DISTANT SHORES,1
Berkley,Catherine Anderson,451488024,9.78E+12,1/22/17,by Catherine Anderson,MULBERRY MOON,1
Henry Holt,Ian McGuire,1627795952,9.78E+12,1/22/17,by Ian McGuire,THE NORTH WATER,1
Zebra,Fern Michaels,None,9.78E+12,1/15/17,by Fern Michaels,CRASH AND BURN,1
Waterhouse,Helen Hardt,None,A00B01HFPDRI4,1/8/17,by Helen Hardt,MELT,1
Morrow/HarperCollins,James Rollins,62381709,9.78E+12,1/1/17,by James Rollins,THE SEVENTH PLAGUE,1
Ballantine,J R Ward,698193288,9.78E+12,12/25/16,by J. R. Ward,BLOOD VOW,1
Knopf,Anne Rice,385353790,9.78E+12,12/18/16,by Anne Rice,PRINCE LESTAT AND THE REALMS OF ATLANTIS,1
Harper,Bernard Cornwell,62250825,9.78E+12,12/18/16,by Bernard Cornwell,THE FLAME BEARER,1
Random House,Fannie Flagg,140006595X,9.78E+12,12/18/16,by Fannie Flagg,THE WHOLE TOWN'S TALKING,1
Del Rey,James Luceno,345511492,9.78E+12,12/4/16,by James Luceno,CATALYST,1
Simon & Schuster,Richard Paul Evans,1501119818,9.78E+12,12/4/16,by Richard Paul Evans,THE MISTLETOE SECRET,1
St. Martin's,Jeffrey Archer,1466867515,9.78E+12,11/27/16,by Jeffrey Archer,THIS WAS A MAN,1
Jove,Christine Feehan,None,9.78E+12,11/27/16,by Christine Feehan,LEOPARD'S FURY,1
Signet,Mary Balogh,451477790,9.78E+12,11/27/16,by Mary Balogh,SOMEONE TO LOVE,1
Tor,David Weber,1429952113,9.78E+12,11/27/16,by David Weber,AT THE SIGN OF TRIUMPH,1
Avon Impulse,Jill Shalvis,006246356X,9.78E+12,11/27/16,by Jill Shalvis,ONE SNOWY NIGHT,1
Berkley,Nalini Singh,NA,9.78E+12,11/20/16,by Nalini Singh,ARCHANGEL'S HEART,1
BAAE,Corinne Michaels,1942834209,9.78E+12,11/20/16,by Corinne Michaels,SAY YOU WANT ME,1
Morrow/HarperCollins,Allison Brennan,1250105102,9.78E+12,11/20/16,by Allison Brennan,THE LOST GIRLS,1
"Little, Brown",James Patterson and Jeffrey J Keyes,316361534,9.78E+12,11/20/16,by James Patterson and Jeffrey J. Keyes,KILLER CHEF,1
Putnam,Stuart Woods,None,9.78E+12,11/13/16,by Stuart Woods,"SEX, LIES  AND SERIOUS MONEY",1
Orbit,Brent Weeks,316251313,9.78E+12,11/13/16,by Brent Weeks,THE BLOOD MIRROR,1
Howard Books,Karen Kingsbury,1451687567,9.78E+12,11/13/16,by Karen Kingsbury,A BAXTER FAMILY CHRISTMAS,1
DLZ Entertainment,Lexi Blake,1937608530,9.78E+12,11/13/16,by Lexi Blake,SUBMISSION IS NOT ENOUGH,1
St. Martin's,Iris Johansen and Roy Johansen,1466887338,9.78E+12,11/13/16,by Iris Johansen and Roy Johansen,NIGHT WATCH,1
Lauren Blakely,Lauren Blakely,None,A00B01M9BU7A1,11/6/16,by Lauren Blakely,THE SEXY ONE,1
Emma Chase,Emma Chase,997426225,9.78E+12,11/6/16,by Emma Chase,ROYALLY SCREWED,1
Berkley,Laurell K Hamilton,None,9.78E+12,10/30/16,by Laurell K. Hamilton,CRIMSON DEATH,1
Pantheon,Alexander McCall Smith,1101871369,9.78E+12,10/30/16,by Alexander McCall Smith,PRECIOUS AND GRACE,1
Ballantine,Debbie Macomber,553391747,9.78E+12,10/23/16,by Debbie Macomber,TWELVE DAYS OF CHRISTMAS,1
"Little, Brown",Elin Hilderbrand,316261157,9.78E+12,10/23/16,by Elin Hilderbrand,WINTER STORMS,1
Putnam,WEB Griffin and William E Butterworth,None,9.78E+12,10/23/16,by W.E.B. Griffin and William E. Butterworth,BROKEN TRUST,1
Waterhouse,Helen Hardt,None,A00B01EIJC2U4,10/16/16,by Helen Hardt,POSSESSION,1
Elle Kennedy,Elle Kennedy,None,9.78E+12,10/16/16,by Elle Kennedy,THE GOAL,1
HQN,RaeAnne Thayne,1459294947,9.78E+12,10/16/16,by RaeAnne Thayne,SNOWFALL ON HAVEN POINT,1
Mira,Heather Graham,1460395921,9.78E+12,10/16/16,by Heather Graham,DARKEST JOURNEY,1
Kensington,Joanne Fluke,161773229X,9.78E+12,10/16/16,by Joanne Fluke,CHRISTMAS CARAMEL MURDER,1
Mira,Ron Carr,1460395956,9.78E+12,10/16/16,by Robyn Carr,THE LIFE SHE WANTS,1
Ace,Ilona Andrews,None,9.78E+12,10/9/16,by Ilona Andrews,MAGIC BINDS,1
Avon/HarperCollins,Lynsay Sands,62316079,9.78E+12,10/9/16,by Lynsay Sands,IMMORTAL NIGHTS,1
Random House,Alan Bradley,345539982,9.78E+12,10/9/16,by Alan Bradley,THRICE THE BRINDED CAT HATH MEW'D,1
Putnam,Amy Tan,None,9.78E+12,10/9/16,by Amy Tan,THE BONESETTER'S DAUGHTER,1
Viking,Craig Johnson,None,9.78E+12,10/2/16,by Craig Johnson,AN OBVIOUS FACT,1
Lauren Blakely,Lauren Blakely,None,A00B01LYRXJ0I,10/2/16,by Lauren Blakely,WELL HUNG,1
Putnam,Reed Farrel Coleman,None,9.78E+12,10/2/16,by Reed Farrel Coleman,ROBERT B. PARKER'S DEBT TO PAY,1
Nan A. Talese/Doubleday,Ian McEwan,385542070,9.78E+12,10/2/16,by Ian McEwan,NUTSHELL,1
Morrow/HarperCollins,J A Jance,62297732,9.78E+12,9/25/16,by J. A. Jance,DOWNFALL,1
Berkley,Clare Mackintosh,None,9.78E+12,9/25/16,by  Clare Mackintosh,I LET YOU GO,1
BookShots,James Patterson with Max DiLallo,316361526,9.78E+12,9/25/16,by James Patterson with Max DiLallo,113 MINUTES,1
"Farrar, Straus & Giroux",Jonathan Safran Foer,374280029,9.78E+12,9/25/16,by Jonathan Safran Foer,HERE I AM,1
HQN,Linda Lael Miller,1460394135,9.78E+12,9/18/16,by Linda Lael Miller,ALWAYS A COWBOY,1
Zebra,Fern Michaels,1420140647,9.78E+12,9/18/16,by Fern Michaels,FAST AND LOOSE,1
Avon,Sarah MacLean,62379445,9.78E+12,9/18/16,by Sarah MacLean,A SCOT IN THE DARK,1
Simon & Schuster,James Lee Burke,1501107488,9.78E+12,9/18/16,by James Lee Burke,THE JEALOUS KIND,1
HarperCollins,Susan Elizabeth Phillips,62405632,9.78E+12,9/11/16,by Susan Elizabeth Phillips,FIRST STAR I SEE TONIGHT,1
Ballantine,Kristin Hannah,345459520,9.78E+12,9/11/16,by Kristin Hannah,SUMMER ISLAND,1
Avon,Maya Banks,62410172,9.78E+12,9/11/16,by Maya Banks,WITH EVERY BREATH,1
St. Martin's,Lisa Scottoline,1250099633,9.78E+12,9/4/16,by Lisa Scottoline,DAMAGED,1
Jamie McGuire,Jamie McGuire,None,A00B01GJ5LT0O,9/4/16,by Jamie McGuire,A BEAUTIFUL FUNERAL,1
Blue Bolt,Jasmine Walt and Rebecca Hamilton,None,A00B01FT4OAUW,9/4/16,by Jasmine Walt and Rebecca Hamilton,SHADOW BORN,1
Penelope Ward,Penelope Ward,1942215479,9.78E+12,9/4/16,by Penelope Ward,NEIGHBOR DEAREST,1
Touchstone,Philippa Gregory,1476758751,9.78E+12,8/28/16,by Philippa Gregory,"THREE SISTERS, THREE QUEENS",1
Witness Impulse,J A Jance,62499041,9.78E+12,8/28/16,by J. A. Jance,RANDOM ACTS,1
Morrow/HarperCollins,Kristen Pro,62434780,9.78E+12,8/28/16,by Kristen Proby,CLOSE TO YOU,1
Putnam,Stuart Woods and Parnell Hall,None,9.78E+12,8/21/16,by Stuart Woods and Parnell Hall,SMOOTH OPERATOR,1
Berkley,Christine Feehan,None,9.78E+12,8/21/16,by Christine Feehan,DARK CAROUSEL,1
BookShots,James Patterson with Michael Ledwidge,031636164X,9.78E+12,8/21/16,by James Patterson with Michael Ledwidge,CHASE,1
St. Martin's,Sherrilyn Kenyon,1250092418,9.78E+12,8/21/16,by Sherrilyn Kenyon,DRAGONMARK,1
Jove,Jayne Castle,None,9.78E+12,8/14/16,by Jayne Castle,ILLUSION TOWN,1
HQN,Marie Force,1459294920,9.78E+12,8/14/16,by Marie Force,FATAL IDENTITY,1
Mira,Ron Carr,1460346769,9.78E+12,8/14/16,by Robyn Carr,THE HOUSE ON OLIVE STREET,1
Mira,Heather Graham,1460395646,9.78E+12,8/14/16,by Heather Graham,DEADLY FATE,1
Dutton,Linda Fairstein,None,9.78E+12,8/14/16,by Linda Fairstein,KILLER LOOK,1
New American Library,J R Ward,None,9.78E+12,8/14/16,by J. R. Ward,THE ANGELS' SHARE,1
St. Martin's,Iris Johansen,1466887214,9.78E+12,8/7/16,by Iris Johansen,NIGHT AND DAY,1
Waterhouse,Helen Hardt,None,A00B01EGIKZVU,8/7/16,by Helen Hardt,OBSESSION,1
Grand Central,Nicholas Sparks,759527881,9.78E+12,7/31/16,by Nicholas Sparks,THE GUARDIAN,1
Minotaur,Linda Castillo,1466867272,9.78E+12,7/31/16,by Linda Castillo,AMONG THE WICKED,1
HQN,Susan Mallery,1460394356,9.78E+12,7/31/16,by Susan Mallery,DAUGHTERS OF THE BRIDE,1
Kendall Ryan,Kendall Ryan,None,A00B01GNLNGZU,7/24/16,by Kendall Ryan,HITCHED,1
BookShots,James Patterson and Emily Raymond,316276405,9.78E+12,7/24/16,by James Patterson and Emily Raymond,LITTLE BLACK DRESS,1
Jove,Christine Feehan,None,9.78E+12,7/17/16,by Christine Feehan,SHADOW RIDER,1
Bantam,Janet Evanovich and Lee Goldberg,553392786,9.78E+12,7/10/16,by Janet Evanovich and Lee Goldberg,THE PURSUIT,1
Putnam,Stuart Woods,None,9.78E+12,6/26/16,by Stuart Woods,DISHONORABLE INTENTIONS,1
Grand Central,Brad Meltzer and Tod Goldberg,1455559504,9.78E+12,6/26/16,by Brad Meltzer and Tod Goldberg,THE HOUSE OF SECRETS,1
Random House,Alan Furst,081299650X,9.78E+12,6/19/16,by Alan Furst,A HERO OF FRANCE,1
Zebra,Kat Martin,1420139037,9.78E+12,6/19/16,by Kat Martin,INTO THE WHIRLWIND,1
Mira,Heather Graham,1459294149,9.78E+12,6/12/16,by Heather Graham,HAUNTED DESTINY,1
Aurora Rose Reynolds,Aurora Rose Reynolds,None,A00B01CF9YVSA,6/12/16,by Aurora Rose Reynolds,UNTIL JUNE,1
Pocket Books,Laura Griffin,1476779287,9.78E+12,6/12/16,by Laura Griffin,DEEP DARK,1
Grand Central,Douglas Preston and Lincoln Child,145552588X,9.78E+12,6/5/16,by Douglas Preston and Lincoln Child,BEYOND THE ICE LIMIT,1
Denise Grover Swank,Denise Grover Swank,1939996392,9.78E+12,6/5/16,by Denise Grover Swank,THIRTY-SIX AND A HALF MOTIVES,1
Berkley,Jane Green,None,9.78E+12,6/5/16,by Jane Green,THE BEACH HOUSE,1
Viking,Craig Johnson,None,9.78E+12,6/5/16,by Craig Johnson,THE HIGHWAYMAN,1
Morrow,Linda Howard,62419005,9.78E+12,5/29/16,by Linda Howard,TROUBLEMAKER,1
Mira,Debbie Macomber,1459254821,9.78E+12,5/29/16,by Debbie Macomber,16 LIGHTHOUSE ROAD,1
Del Rey,Claudia Gray,345511360,9.78E+12,5/22/16,by Claudia Gray,STAR WARS: BLOODLINE,1
Signet,Mary Balogh,698411323,9.78E+12,5/22/16,by Mary Balogh,ONLY BELOVED,1
Putnam,Ace Atkins,None,9.78E+12,5/22/16,by Ace Atkins,ROBERT B. PARKER'S SLOW BURN,1
Berkley,Maya Banks,None,9.78E+12,5/22/16,by Maya Banks,DOMINATED,1
Jove,Christine Feehan,698197755,9.78E+12,5/15/16,by Christine Feehan,FIRE BOUND,1
HQN,Susan Mallery,1459293894,9.78E+12,5/15/16,by Susan Mallery,BEST OF MY LOVE,1
St. Martin's Press,Iris Johansen,1466887206,9.78E+12,5/15/16,by Iris Johansen,HIDE AWAY,1
Berkley,Marie Force,NA,9.78E+12,5/15/16,by Marie Force,AIN'T SHE SWEET,1
Kristen Ashley,Kristen Ashley,None,9.78E+12,5/8/16,by Kristen Ashley,BOUNTY,1
Jove,Nora Roberts,None,9.78E+12,5/8/16,by Nora Roberts,JEWELS OF THE SUN,1
St. Martin's Griffin,Kylie Scott,1250083273,9.78E+12,5/8/16,by Kylie Scott,DIRTY,1
Morrow/HarperCollins,Gilly Macmillan,None,9.78E+12,5/8/16,by Gilly Macmillan,WHAT SHE KNEW,1
Berkley,Amanda Quick,069819361X,9.78E+12,5/8/16,by Amanda Quick,'TIL DEATH DO US PART,1
St. Martin's,Lisa Scottoline,1250088127,9.78E+12,5/1/16,by Lisa Scottoline,MOST WANTED,1
Oak Press,Bella Andre,1938127897,9.78E+12,5/1/16,by Bella Andre,NOW THAT I'VE FOUND YOU,1
Valkyrie Press,Kresley Cole,997215100,9.78E+12,5/1/16,by Kresley Cole,THE PLAYER,1
Morrow/HarperCollins,Kristen Pro,62434772,9.78E+12,5/1/16,by Kristen Proby,LISTEN TO ME,1
New American Library,J R Ward,None,9.78E+12,4/24/16,by J. R. Ward,THE BEAST,1
Dell,Diana Gabaldon,1101882522,9.78E+12,4/24/16,by Diana Gabaldon,VIRGINS,1
Morrow/HarperCollins,Bryan Reardon,62339532,9.78E+12,4/24/16,by Bryan Reardon,FINDING JAKE,1
Harlequin,Ron Carr,1459292472,9.78E+12,4/24/16,by Robyn Carr,WHAT WE FIND,1
Harper/HarperCollins,Jacqueline Winspear,62220624,9.78E+12,4/17/16,by Jacqueline Winspear,JOURNEY TO MUNICH,1
HQN,Linda Lael Miller,1459292529,9.78E+12,4/17/16,by Linda Lael Miller,ONCE A RANCHER,1
Grand Central,Jill Shalvis,145558679X,9.78E+12,4/17/16,by Jill Shalvis,NOBODY BUT YOU,1
HarperCollins,Lisa Scottoline,61797766,9.78E+12,4/17/16,by Lisa Scottoline,DADDY'S GIRL,1
Tijan,Tijan,None,A00B01DIE5R3Y,4/17/16,by Tijan,LOGAN KADE,1
Howard Books,Karen Kingsbury,1451687540,9.78E+12,4/17/16,by Karen Kingsbury,A BRUSH OF WINGS,1
Random House,Helen Simonson,679644644,9.78E+12,4/10/16,by Helen Simonson,THE SUMMER BEFORE THE WAR,1
Grand Central,Nicholas Sparks,759507910,9.78E+12,4/10/16,by Nicholas Sparks,THE WEDDING,1
Berkley,Christine Feehan,None,9.78E+12,4/3/16,by Christine Feehan,DARK PROMISES,1
InterMix,Nora Roberts,None,9.78E+12,4/3/16,by Nora Roberts,PLAYING THE ODDS,1
Loveswept,Sawyer Bennett,1101968109,9.78E+12,4/3/16,by Sawyer Bennett,HAWKE,1
Putnam,Randy Wayne White,039917351X,9.78E+12,4/3/16,by Randy Wayne White,DEEP BLUE,1
Harper,Anne Hillerman,62270532,9.78E+12,3/27/16,by Anne Hillerman,ROCK WITH WINGS,1
Atlantic Monthly,Donna Leon,802190316,9.78E+12,3/27/16,by Donna Leon,THE WATERS OF ETERNAL YOUTH,1
Touchstone,J A Jance,1501110764,9.78E+12,3/27/16,by J. A. Jance,CLAWBACK,1
Roc,Anne Bishop,698190424,9.78E+12,3/27/16,by Anne Bishop,MARKED IN FLESH,1
Touchstone,Kathleen Grissom,1439160120,9.78E+12,3/20/16,by Kathleen Grissom,THE KITCHEN HOUSE,1
Scribner,Colm Toibin,1501106473,9.78E+12,3/20/16,by Colm Toibin,BROOKLYN,1
Avon,Lynsay Sands,62316052,9.78E+12,3/13/16,by Lynsay Sands,RUNAWAY VAMPIRE,1
Ballantine,Tess Gerritsen,345549635,9.78E+12,3/13/16,by Tess Gerritsen,GIRL MISSING,1
Kensington,Joanne Fluke,1617732176,9.78E+12,3/13/16,by Joanne Fluke,WEDDING CAKE MURDER,1
HQN,Lori Foster,1459292413,9.78E+12,3/13/16,by Lori Foster,FIGHTING DIRTY,1
Jove,Nora Roberts,None,9.78E+12,3/6/16,by Nora Roberts,THE NEXT ALWAYS,1
Metal Blonde,Karina Halle,None,A00B01BMKXYNQ,3/6/16,by Karina Halle,THE LIE,1
Del Rey,Pierce Brown,345539850,9.78E+12,2/28/16,by Pierce Brown,MORNING STAR,1
Putnam,Alex Berenson,None,9.78E+12,2/28/16,by Alex Berenson,THE WOLVES,1
Vintage,P D James,307758982,9.78E+12,2/28/16,by P. D. James,A TASTE FOR DEATH,1
