publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Putnam,Nora Roberts,None,9.78E+12,6/17/12,by Nora Roberts,THE WITNESS,0
Random House Publishing,Janet Evanovich,345527739,9.78E+12,6/10/12,by Janet Evanovich,EXPLOSIVE EIGHTEEN,0
Random House Publishing,Steve Berry,345526538,9.78E+12,6/10/12,by Steve Berry,THE COLUMBUS AFFAIR,0
Grand Central Publishing,Larissa Ione,1455511153,9.78E+12,6/10/12,by Larissa Ione,LETHAL RIDER,0
Simon & Schuster,John Irving,145166415X,9.78E+12,6/3/12,by John Irving,IN ONE PERSON,0
Hyperion Press,Richard Castle,1401394760,9.78E+12,5/27/12,by Richard Castle,HEAT WAVE,0
"Little, Brown & Company",James Patterson and David Ellis,316097578,9.78E+12,5/27/12,by James Patterson and David Ellis,GUILTY WIVES,0
Harlequin,Ron Carr,778313174,9.78E+12,5/20/12,by Robyn Carr,SUNRISE POINT,0
Hyperion,Richard Castle,None,9.78E+12,5/20/12,by Richard Castle,A BREWING STORM,0
Penguin Group,Ace Atkins,NA,9.78E+12,5/20/12,by Ace Atkins,ROBERT B. PARKER’S LULLABY,0
Knopf Doubleday Publishing,Stieg Larsson,307593673,9.78E+12,5/20/12,by Stieg Larsson,THE GIRL WHO KICKED THE HORNET’S NEST,0
Penguin Group,Ace Atkins,NA,9.78E+12,5/20/12,by Ace Atkins,ROBERT B. PARKER�۪S LULLABY,0
Knopf Doubleday Publishing,Stieg Larsson,307593673,9.78E+12,5/20/12,by Stieg Larsson,THE GIRL WHO KICKED THE HORNET�۪S NEST,0
Random House Publishing,Kevin Hearne,345534638,9.78E+12,5/13/12,by Kevin Hearne,TRICKED,0
Simon & Schuster,Mary Higgins Clark,1451668937,9.78E+12,5/6/12,by Mary Higgins Clark,THE LOST YEARS,0
St. Martin's Press,Jeffrey Archer,1429954027,9.78E+12,5/6/12,by Jeffrey Archer,A MATTER OF HONOR,0
Knopf Doubleday Publishing,Stieg Larsson,307272303,9.78E+12,5/6/12,by Stieg Larsson,THE GIRL WHO PLAYED WITH FIRE,0
Random House Publishing,Danielle Steel,345532341,9.78E+12,4/29/12,by Danielle Steel,BETRAYAL,0
Penguin Group,Nora Roberts,515150630,9.78E+12,4/29/12,by Nora Roberts,CHASING FIRE,0
New American Library,J R Ward,None,9.78E+12,4/22/12,by J. R. Ward,LOVER REBORN,0
Delacorte,Lee Child,044024630X,9.78E+12,4/22/12,by Lee Child,THE AFFAIR,0
HarperCollins Publishers,Jacqueline Winspear,62049577,9.78E+12,4/15/12,by Jacqueline Winspear,ELEGY FOR EDDIE,0
HarperCollins Publishers,Kerrelyn Sparks,62096605,9.78E+12,4/15/12,by Kerrelyn Sparks,WANTED: UNDEAD OR ALIVE,0
Atria Books,Jodi Picoult,1439149690,9.78E+12,4/15/12,by Jodi Picoult,LONE WOLF,0
Simon & Schuster,Lisa Lutz,1416539204,9.78E+12,4/15/12,by Lisa Lutz,THE SPELLMAN FILES,0
Random House Publishing,Jonathan Kellerman,345532171,9.78E+12,4/8/12,by Jonathan Kellerman,VICTIMS,0
Harlequin,Ron Carr,1459222776,9.78E+12,4/8/12,by Robyn Carr,REDWOOD BEND,0
HarperCollins Publishers,Ted Bell,006209906X,9.78E+12,4/8/12,by Ted Bell,PHANTOM,0
Penguin Group,Clive Cussler and Justin Scott,NA,9.78E+12,4/8/12,by Clive Cussler and Justin Scott,THE THIEF,0
Scribner,Richard North Patterson,1451617089,9.78E+12,4/8/12,by Richard North Patterson,FALL FROM GRACE,0
Houghton Mifflin Harcourt,Jonathan Safran Foer,547416210,9.78E+12,4/1/12,by Jonathan Safran Foer,EXTREMELY LOUD AND INCREDIBLY CLOSE,0
Kensington,Joanne Fluke,NA,9.78E+12,3/18/12,by Joanne Fluke,CINNAMON ROLL MURDER,0
St. Martin's Press,Susan Wilson,1429959304,9.78E+12,3/18/12,by Susan Wilson,ONE GOOD DOG,0
Penguin Group,Alex Berenson,None,9.78E+12,3/11/12,by Alex Berenson,THE SHADOW PATROL,0
Grand Central Publishing,James Patterson and Maxine Paetro,316097411,9.78E+12,3/11/12,by James Patterson and Maxine Paetro,PRIVATE: #1 SUSPECT,0
St. Martin’s Press,Kristin Hannah,1429942215,9.78E+12,3/11/12,by Kristin Hannah,HOME FRONT,0
Knopf Doubleday Publishing,Anne Rice,307595110,9.78E+12,3/11/12,by Anne Rice,THE WOLF GIFT,0
Catherine Bybee,Catherine Bybee,None,2.94E+12,3/4/12,by Catherine Bybee,WIFE BY WEDNESDAY,0
Harlequin,Sherryl Woods,None,9.78E+12,2/26/12,by Sherryl Woods,THE SUMMER GARDEN,0
Putnam,Robert Crais,NA,9.78E+12,2/26/12,by Robert Crais,TAKEN,0
Signet,Catherine Anderson,None,9.78E+12,2/19/12,by Catherine Anderson,LUCKY PENNY,0
Knopf Doubleday Publishing,P D James,307959856,9.78E+12,2/19/12,by P. D. James,DEATH COMES TO PEMBERLEY,0
Pocket Books,Cindy Gerard,1451606869,9.78E+12,2/19/12,by Cindy Gerard,LAST MAN STANDING,0
Random House Publishing,Téa Obreht,385343841,9.78E+12,2/19/12,by Téa Obreht,THE TIGER'S WIFE,0
HarperCollins Publishers,Elmore Leonard,62119486,9.78E+12,2/12/12,by Elmore Leonard,RAYLAN,0
St. Martin's Press,Iris Johansen,312651287,9.78E+12,2/12/12,by Iris Johansen,BONNIE,0
Barbara Freethy,Barbara Freethy,None,A00B004Q9TI54,2/12/12,by Barbara Freethy,GOLDEN LIES,0
Penguin Group,Elizabeth George,525952586,9.78E+12,2/5/12,by Elizabeth George,BELIEVING THE LIE,0
St. Martin’s Press,Janet Evanovich and Dorien Kelly,1429952512,9.78E+12,1/29/12,by Janet Evanovich and Dorien Kelly,LOVE IN A NUTSHELL,0
Penguin Group,Tom Clancy with Mark Greaney,None,9.78E+12,1/29/12,by Tom Clancy with Mark Greaney,LOCKED ON,0
Random House Publishing,Dean Koontz,345532368,9.78E+12,1/22/12,by Dean Koontz,77 SHADOW STREET,0
